season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,3,531,Ballard,SUN,Defender,8.94,0,8.94,8.94
2025-2026,3,72,Senesi,BOU,Defender,5.12,14,-8.879999999999999,8.879999999999999
2025-2026,3,597,Richarlison,TOT,Forward,9.876666666666667,2,7.876666666666667,7.876666666666667
2025-2026,3,525,Wood,NFO,Forward,8.596666666666666,2,6.596666666666666,6.596666666666666
2025-2026,3,419,Grealish,EVE,Midfielder,4.6066666666666665,10,-5.3933333333333335,5.3933333333333335
2025-2026,3,387,Szoboszlai,LIV,Midfielder,7.666666666666667,13,-5.333333333333333,5.333333333333333
2025-2026,3,582,Kudus,TOT,Midfielder,7.306666666666667,2,5.306666666666667,5.306666666666667
2025-2026,3,603,Diouf,WHU,Defender,4.79,10,-5.21,5.21
2025-2026,3,612,L.Paquetá,WHU,Midfielder,4.84,10,-5.16,5.16
2025-2026,3,547,E.Le Fée,SUN,Midfielder,6.1033333333333335,11,-4.8966666666666665,4.8966666666666665
2025-2026,3,7,Calafiori,ARS,Defender,6.836666666666667,2,4.836666666666667,4.836666666666667
2025-2026,3,233,Acheampong,CHE,Defender,4.676666666666667,0,4.676666666666667,4.676666666666667
2025-2026,3,410,Lewis,MCI,Defender,5.6466666666666665,1,4.6466666666666665,4.6466666666666665
2025-2026,3,164,O'Riley,BHA,Midfielder,4.566666666666666,0,4.566666666666666,4.566666666666666
2025-2026,3,36,Cash,AVL,Defender,4.516666666666667,0,4.516666666666667,4.516666666666667
2025-2026,3,97,Evanilson,BOU,Forward,3.54,8,-4.46,4.46
2025-2026,3,475,Botman,NEW,Defender,3.7133333333333334,8,-4.286666666666667,4.286666666666667
2025-2026,3,74,Truffert,BOU,Defender,2.81,7,-4.1899999999999995,4.1899999999999995
2025-2026,3,237,Enzo,CHE,Midfielder,7.876666666666667,12,-4.123333333333333,4.123333333333333
2025-2026,3,226,Chalobah,CHE,Defender,8.883333333333333,13,-4.116666666666667,4.116666666666667
2025-2026,3,260,Guéhi,CRY,Defender,10.89,15,-4.109999999999999,4.109999999999999
2025-2026,3,624,Bowen,WHU,Forward,4.97,9,-4.03,4.03
2025-2026,3,8,J.Timber,ARS,Defender,5.983333333333333,2,3.9833333333333334,3.9833333333333334
2025-2026,3,402,Aït-Nouri,MCI,Defender,3.966666666666667,0,3.966666666666667,3.966666666666667
2025-2026,3,119,Mbeumo,MUN,Midfielder,6.09,10,-3.91,3.91
2025-2026,3,449,B.Fernandes,MUN,Midfielder,6.12,10,-3.88,3.88
2025-2026,3,267,Sarr,CRY,Midfielder,3.3133333333333335,7,-3.6866666666666665,3.6866666666666665
2025-2026,3,6,Saliba,ARS,Defender,4.583333333333333,1,3.583333333333333,3.583333333333333
2025-2026,3,685,Diakité,BOU,Defender,2.52,6,-3.48,3.48
2025-2026,3,242,Dewsbury-Hall,EVE,Midfielder,8.543333333333333,12,-3.456666666666667,3.456666666666667
2025-2026,3,615,Summerville,WHU,Midfielder,3.5433333333333334,7,-3.4566666666666666,3.4566666666666666
2025-2026,3,33,M.Bizot,AVL,Goalkeeper,3.453333333333333,0,3.453333333333333,3.453333333333333
2025-2026,3,469,Pope,NEW,Goalkeeper,8.38,5,3.380000000000001,3.380000000000001
2025-2026,3,635,R.Gomes,WOL,Defender,3.6666666666666665,7,-3.3333333333333335,3.3333333333333335
2025-2026,3,671,Wilson,WHU,Forward,3.703333333333333,7,-3.296666666666667,3.296666666666667
