season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,10,82,Semenyo,BOU,Midfielder,6.016666666666667,0,6.016666666666667,6.016666666666667
2025-2026,10,457,Casemiro,MUN,Midfielder,6.826666666666667,12,-5.173333333333333,5.173333333333333
2025-2026,10,21,Rice,ARS,Midfielder,7.96,13,-5.04,5.04
2025-2026,10,328,Sessegnon,FUL,Midfielder,9.766666666666667,14,-4.2333333333333325,4.2333333333333325
2025-2026,10,169,Gomez,BHA,Midfielder,11.79,16,-4.210000000000001,4.210000000000001
2025-2026,10,489,J.Murphy,NEW,Midfielder,3.263333333333333,7,-3.736666666666667,3.736666666666667
2025-2026,10,272,Lerma,CRY,Midfielder,6.523333333333333,10,-3.4766666666666666,3.4766666666666666
2025-2026,10,119,Mbeumo,MUN,Midfielder,5.346666666666667,2,3.3466666666666667,3.3466666666666667
2025-2026,10,694,Mukiele,SUN,Defender,3.1533333333333333,0,3.1533333333333333,3.1533333333333333
2025-2026,10,381,M.Salah,LIV,Midfielder,6.973333333333334,10,-3.0266666666666664,3.0266666666666664
2025-2026,10,631,Agbadou,WOL,Defender,-0.20666666666666667,-3,2.7933333333333334,2.7933333333333334
2025-2026,10,390,Gravenberch,LIV,Midfielder,8.366666666666667,11,-2.633333333333333,2.633333333333333
2025-2026,10,526,Igor Jesus,NFO,Forward,2.3966666666666665,5,-2.6033333333333335,2.6033333333333335
2025-2026,10,634,Mosquera,WOL,Defender,-0.43,-3,2.57,2.57
2025-2026,10,585,Bentancur,TOT,Midfielder,2.57,0,2.57,2.57
2025-2026,10,322,Tete,FUL,Defender,3.64,6,-2.36,2.36
2025-2026,10,225,James,CHE,Defender,8.35,6,2.3499999999999996,2.3499999999999996
2025-2026,10,575,Van de Ven,TOT,Defender,4.33,2,2.33,2.33
2025-2026,10,430,Haaland,MCI,Forward,2.3033333333333332,0,2.3033333333333332,2.3033333333333332
2025-2026,10,716,Savona,NFO,Defender,4.883333333333334,7,-2.1166666666666663,2.1166666666666663
2025-2026,10,708,M.Fernandes,WHU,Midfielder,2.95,5,-2.05,2.05
2025-2026,10,475,Botman,NEW,Defender,0.9833333333333333,-1,1.9833333333333334,1.9833333333333334
2025-2026,10,187,Walker,BUR,Defender,2.9266666666666667,1,1.9266666666666667,1.9266666666666667
2025-2026,10,367,Mamardashvili,LIV,Goalkeeper,5.09,7,-1.9100000000000001,1.9100000000000001
2025-2026,10,5,Gabriel,ARS,Defender,10.106666666666667,12,-1.8933333333333326,1.8933333333333326
2025-2026,10,233,Acheampong,CHE,Defender,1.8766666666666667,0,1.8766666666666667,1.8766666666666667
2025-2026,10,173,Wieffer,BHA,Midfielder,8.183333333333334,10,-1.8166666666666664,1.8166666666666664
2025-2026,10,532,Hume,SUN,Defender,1.7833333333333334,0,1.7833333333333334,1.7833333333333334
2025-2026,10,488,Bruno G.,NEW,Midfielder,5.783333333333333,4,1.7833333333333332,1.7833333333333332
2025-2026,10,408,Rúben,MCI,Defender,1.7433333333333334,0,1.7433333333333334,1.7433333333333334
2025-2026,10,36,Cash,AVL,Defender,1.7433333333333334,0,1.7433333333333334,1.7433333333333334
2025-2026,10,670,Roefs,SUN,Goalkeeper,1.69,0,1.69,1.69
2025-2026,10,522,Yates,NFO,Midfielder,3.3833333333333333,5,-1.6166666666666667,1.6166666666666667
2025-2026,10,736,Donnarumma,MCI,Goalkeeper,1.6,0,1.6,1.6
2025-2026,10,299,Ndiaye,EVE,Midfielder,1.5733333333333333,0,1.5733333333333333,1.5733333333333333
2025-2026,10,160,Minteh,BHA,Midfielder,7.44,9,-1.5599999999999996,1.5599999999999996
2025-2026,10,584,Tel,TOT,Midfielder,1.5533333333333332,0,1.5533333333333332,1.5533333333333332
2025-2026,10,74,Truffert,BOU,Defender,1.55,0,1.55,1.55
2025-2026,10,215,Flemming,BUR,Forward,2.55,1,1.5499999999999998,1.5499999999999998
2025-2026,10,610,Wan-Bissaka,WHU,Defender,5.466666666666667,7,-1.5333333333333332,1.5333333333333332
2025-2026,10,260,Guéhi,CRY,Defender,8.5,10,-1.5,1.5
2025-2026,10,329,Wilson,FUL,Midfielder,8.503333333333334,10,-1.4966666666666661,1.4966666666666661
2025-2026,10,593,P.M.Sarr,TOT,Midfielder,2.51,4,-1.4900000000000002,1.4900000000000002
2025-2026,10,84,Tavernier,BOU,Midfielder,1.49,0,1.49,1.49
2025-2026,10,450,Cunha,MUN,Midfielder,2.5166666666666666,4,-1.4833333333333334,1.4833333333333334
2025-2026,10,50,Buendía,AVL,Midfielder,1.4766666666666666,0,1.4766666666666666,1.4766666666666666
2025-2026,10,375,Bradley,LIV,Defender,4.596666666666667,6,-1.4033333333333333,1.4033333333333333
2025-2026,10,570,Danso,TOT,Defender,1.4033333333333333,0,1.4033333333333333,1.4033333333333333
2025-2026,10,85,Adams,BOU,Midfielder,1.3933333333333333,0,1.3933333333333333,1.3933333333333333
2025-2026,10,228,Gusto,CHE,Defender,5.61,7,-1.3899999999999997,1.3899999999999997
2025-2026,10,613,Souček,WHU,Midfielder,4.616666666666666,6,-1.3833333333333337,1.3833333333333337
2025-2026,10,81,Kluivert,BOU,Midfielder,1.3666666666666667,0,1.3666666666666667,1.3666666666666667
2025-2026,10,100,Kroupi.Jr,BOU,Forward,1.33,0,1.33,1.33
2025-2026,10,411,O’Reilly,MCI,Defender,1.32,0,1.32,1.32
2025-2026,10,192,Hartman,BUR,Defender,2.3,1,1.2999999999999998,1.2999999999999998
2025-2026,10,386,Mac Allister,LIV,Midfielder,4.72,6,-1.2800000000000002,1.2800000000000002
2025-2026,10,67,Petrović,BOU,Goalkeeper,1.28,0,1.28,1.28
2025-2026,10,419,Grealish,EVE,Midfielder,1.26,0,1.26,1.26
2025-2026,10,407,Matheus N.,MCI,Defender,1.26,0,1.26,1.26
2025-2026,10,236,Neto,CHE,Midfielder,4.25,3,1.25,1.25
2025-2026,10,241,Caicedo,CHE,Midfielder,8.756666666666666,10,-1.243333333333334,1.243333333333334
