season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,8,442,Maguire,MUN,Defender,4.383333333333334,11,-6.616666666666666,6.616666666666666
2025-2026,8,449,B.Fernandes,MUN,Midfielder,1.8466666666666667,8,-6.153333333333333,6.153333333333333
2025-2026,8,226,Chalobah,CHE,Defender,0.11,6,-5.89,5.89
2025-2026,8,493,Longstaff,LEE,Midfielder,7.463333333333333,2,5.463333333333333,5.463333333333333
2025-2026,8,225,James,CHE,Defender,12.806666666666667,18,-5.193333333333333,5.193333333333333
2025-2026,8,50,Buendía,AVL,Midfielder,12.136666666666667,7,5.136666666666667,5.136666666666667
2025-2026,8,187,Walker,BUR,Defender,8.946666666666667,14,-5.053333333333333,5.053333333333333
2025-2026,8,636,S.Bueno,WOL,Defender,5.683333333333334,1,4.683333333333334,4.683333333333334
2025-2026,8,21,Rice,ARS,Midfielder,7.623333333333333,3,4.623333333333333,4.623333333333333
2025-2026,8,283,Mateta,CRY,Forward,13.143333333333333,17,-3.8566666666666674,3.8566666666666674
2025-2026,8,676,Ugochukwu,BUR,Midfielder,6.286666666666667,10,-3.713333333333333,3.713333333333333
2025-2026,8,683,Alderete,SUN,Defender,9.686666666666667,6,3.6866666666666674,3.6866666666666674
2025-2026,8,233,Acheampong,CHE,Defender,10.313333333333333,14,-3.6866666666666674,3.6866666666666674
2025-2026,8,694,Mukiele,SUN,Defender,13.523333333333333,17,-3.4766666666666666,3.4766666666666666
2025-2026,8,670,Roefs,SUN,Goalkeeper,10.466666666666667,7,3.466666666666667,3.466666666666667
2025-2026,8,126,Jensen,BRE,Midfielder,9.443333333333333,6,3.4433333333333334,3.4433333333333334
2025-2026,8,267,Sarr,CRY,Midfielder,5.403333333333333,2,3.4033333333333333,3.4033333333333333
2025-2026,8,82,Semenyo,BOU,Midfielder,7.1033333333333335,4,3.1033333333333335,3.1033333333333335
2025-2026,8,158,Georginio,BHA,Midfielder,3.9366666666666665,7,-3.0633333333333335,3.0633333333333335
2025-2026,8,373,Virgil,LIV,Defender,0.03333333333333333,3,-2.966666666666667,2.966666666666667
2025-2026,8,411,O’Reilly,MCI,Defender,8.053333333333333,11,-2.946666666666667,2.946666666666667
2025-2026,8,681,Šeško,MUN,Forward,3.8433333333333333,1,2.8433333333333333,2.8433333333333333
2025-2026,8,419,Grealish,EVE,Midfielder,2.6466666666666665,0,2.6466666666666665,2.6466666666666665
2025-2026,8,256,Muñoz,CRY,Defender,7.366666666666666,10,-2.6333333333333337,2.6333333333333337
2025-2026,8,381,M.Salah,LIV,Midfielder,-0.61,2,-2.61,2.61
2025-2026,8,191,Estève,BUR,Defender,5.48,8,-2.5199999999999996,2.5199999999999996
2025-2026,8,324,Iwobi,FUL,Midfielder,1.4866666666666666,4,-2.5133333333333336,2.5133333333333336
2025-2026,8,387,Szoboszlai,LIV,Midfielder,6.44,4,2.4400000000000004,2.4400000000000004
2025-2026,8,517,Anderson,NFO,Midfielder,1.6,4,-2.4,2.4
2025-2026,8,585,Bentancur,TOT,Midfielder,9.633333333333333,12,-2.366666666666667,2.366666666666667
2025-2026,8,101,Kelleher,BRE,Goalkeeper,8.363333333333333,6,2.3633333333333333,2.3633333333333333
2025-2026,8,237,Enzo,CHE,Midfielder,2.32,0,2.32,2.32
2025-2026,8,136,Thiago,BRE,Forward,10.313333333333333,8,2.3133333333333326,2.3133333333333326
2025-2026,8,299,Ndiaye,EVE,Midfielder,1.75,4,-2.25,2.25
2025-2026,8,295,Keane,EVE,Defender,3.18,1,2.18,2.18
2025-2026,8,100,Kroupi.Jr,BOU,Forward,9.966666666666667,12,-2.033333333333333,2.033333333333333
2025-2026,8,407,Matheus N.,MCI,Defender,9.033333333333333,7,2.033333333333333,2.033333333333333
2025-2026,8,685,Diakité,BOU,Defender,1.0833333333333333,3,-1.9166666666666667,1.9166666666666667
2025-2026,8,497,L.Miley,NEW,Midfielder,2.11,4,-1.8900000000000001,1.8900000000000001
2025-2026,8,220,Sánchez,CHE,Goalkeeper,6.89,5,1.8899999999999997,1.8899999999999997
2025-2026,8,236,Neto,CHE,Midfielder,10.13,12,-1.8699999999999992,1.8699999999999992
2025-2026,8,119,Mbeumo,MUN,Midfielder,7.133333333333334,9,-1.8666666666666663,1.8666666666666663
2025-2026,8,374,Konaté,LIV,Defender,1.1433333333333333,3,-1.8566666666666667,1.8566666666666667
2025-2026,8,490,Joelinton,NEW,Midfielder,2.8433333333333333,1,1.8433333333333333,1.8433333333333333
2025-2026,8,145,De Cuyper,BHA,Defender,2.7933333333333334,1,1.7933333333333334,1.7933333333333334
2025-2026,8,627,Johnstone,WOL,Goalkeeper,2.7133333333333334,1,1.7133333333333334,1.7133333333333334
2025-2026,8,403,Gvardiol,MCI,Defender,1.69,0,1.69,1.69
2025-2026,8,470,Dúbravka,BUR,Goalkeeper,7.34,9,-1.6600000000000001,1.6600000000000001
2025-2026,8,37,Digne,AVL,Defender,6.636666666666667,5,1.6366666666666667,1.6366666666666667
2025-2026,8,238,Estêvão,CHE,Midfielder,4.6066666666666665,3,1.6066666666666665,1.6066666666666665
