season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,7,82,Semenyo,BOU,Midfielder,10.07,18,-7.93,7.93
2025-2026,7,488,Bruno G.,NEW,Midfielder,8.11,14,-5.890000000000001,5.890000000000001
2025-2026,7,21,Rice,ARS,Midfielder,5.613333333333333,11,-5.386666666666667,5.386666666666667
2025-2026,7,53,Malen,AVL,Midfielder,10.08,15,-4.92,4.92
2025-2026,7,681,Šeško,MUN,Forward,4.746666666666667,9,-4.253333333333333,4.253333333333333
2025-2026,7,683,Alderete,SUN,Defender,4.016666666666667,0,4.016666666666667,4.016666666666667
2025-2026,7,733,Lammens,MUN,Goalkeeper,5.203333333333333,9,-3.796666666666667,3.796666666666667
2025-2026,7,267,Sarr,CRY,Midfielder,3.2933333333333334,7,-3.7066666666666666,3.7066666666666666
2025-2026,7,238,Estêvão,CHE,Midfielder,4.586666666666667,8,-3.413333333333333,3.413333333333333
2025-2026,7,390,Gravenberch,LIV,Midfielder,5.19,2,3.1900000000000004,3.1900000000000004
2025-2026,7,224,Cucurella,CHE,Defender,3.8666666666666667,7,-3.1333333333333333,3.1333333333333333
2025-2026,7,455,Mount,MUN,Midfielder,7.156666666666666,10,-2.8433333333333337,2.8433333333333337
2025-2026,7,676,Ugochukwu,BUR,Midfielder,4.196666666666666,7,-2.8033333333333337,2.8033333333333337
2025-2026,7,582,Kudus,TOT,Midfielder,9.276666666666667,12,-2.7233333333333327,2.7233333333333327
2025-2026,7,648,Munetsi,WOL,Midfielder,2.32,5,-2.68,2.68
2025-2026,7,403,Gvardiol,MCI,Defender,9.323333333333334,12,-2.676666666666666,2.676666666666666
2025-2026,7,407,Matheus N.,MCI,Defender,2.4033333333333333,5,-2.5966666666666667,2.5966666666666667
2025-2026,7,8,J.Timber,ARS,Defender,8.466666666666667,11,-2.533333333333333,2.533333333333333
2025-2026,7,499,Isak,LIV,Forward,2.466666666666667,5,-2.533333333333333,2.533333333333333
2025-2026,7,684,Thiaw,NEW,Defender,5.55,8,-2.45,2.45
2025-2026,7,436,De Ligt,MUN,Defender,5.596666666666667,8,-2.4033333333333333,2.4033333333333333
2025-2026,7,6,Saliba,ARS,Defender,3.6,6,-2.4,2.4
2025-2026,7,478,Trippier,NEW,Defender,3.6166666666666667,6,-2.3833333333333333,2.3833333333333333
2025-2026,7,440,Dalot,MUN,Defender,6.656666666666666,9,-2.3433333333333337,2.3433333333333337
2025-2026,7,419,Grealish,EVE,Midfielder,7.716666666666667,10,-2.283333333333333,2.283333333333333
2025-2026,7,157,Mitoma,BHA,Midfielder,2.2333333333333334,0,2.2333333333333334,2.2333333333333334
2025-2026,7,77,Hill,BOU,Defender,3.86,6,-2.14,2.14
2025-2026,7,151,Van Hecke,BHA,Defender,8.92,11,-2.08,2.08
2025-2026,7,444,Yoro,MUN,Defender,3.96,6,-2.04,2.04
2025-2026,7,292,Mykolenko,EVE,Defender,2.0766666666666667,4,-1.9233333333333333,1.9233333333333333
2025-2026,7,475,Botman,NEW,Defender,4.08,6,-1.92,1.92
2025-2026,7,714,Woltemade,NEW,Forward,4.17,6,-1.83,1.83
2025-2026,7,228,Gusto,CHE,Defender,3.2266666666666666,5,-1.7733333333333334,1.7733333333333334
2025-2026,7,7,Calafiori,ARS,Defender,4.233333333333333,6,-1.7666666666666666,1.7666666666666666
2025-2026,7,205,Cullen,BUR,Midfielder,4.253333333333333,6,-1.746666666666667,1.746666666666667
2025-2026,7,476,Burn,NEW,Defender,9.29,11,-1.7100000000000009,1.7100000000000009
2025-2026,7,271,Kamada,CRY,Midfielder,2.31,4,-1.69,1.69
2025-2026,7,585,Bentancur,TOT,Midfielder,2.33,4,-1.67,1.67
2025-2026,7,36,Cash,AVL,Defender,3.66,2,1.6600000000000001,1.6600000000000001
2025-2026,7,74,Truffert,BOU,Defender,3.41,5,-1.5899999999999999,1.5899999999999999
2025-2026,7,258,Mitchell,CRY,Defender,2.58,1,1.58,1.58
2025-2026,7,54,McGinn,AVL,Midfielder,1.4333333333333333,3,-1.5666666666666667,1.5666666666666667
2025-2026,7,633,H.Bueno,WOL,Defender,6.443333333333333,8,-1.5566666666666666,1.5566666666666666
2025-2026,7,508,N.Williams,NFO,Defender,1.5333333333333334,0,1.5333333333333334,1.5333333333333334
2025-2026,7,16,Saka,ARS,Midfielder,6.486666666666666,8,-1.5133333333333336,1.5133333333333336
2025-2026,7,414,Foden,MCI,Midfielder,4.513333333333334,3,1.5133333333333336,1.5133333333333336
2025-2026,7,256,Muñoz,CRY,Defender,6.516666666666667,8,-1.4833333333333334,1.4833333333333334
2025-2026,7,477,Livramento,NEW,Defender,1.4633333333333334,0,1.4633333333333334,1.4633333333333334
2025-2026,7,568,Pedro Porro,TOT,Defender,5.55,7,-1.4500000000000002,1.4500000000000002
2025-2026,7,200,Anthony,BUR,Midfielder,2.4066666666666667,1,1.4066666666666667,1.4066666666666667
2025-2026,7,350,Aaronson,LEE,Midfielder,3.6,5,-1.4,1.4
2025-2026,7,180,Tzimas,BHA,Forward,2.6,4,-1.4,1.4
2025-2026,7,5,Gabriel,ARS,Defender,7.64,9,-1.3600000000000003,1.3600000000000003
2025-2026,7,722,Florentino,BUR,Midfielder,2.6633333333333336,4,-1.3366666666666664,1.3366666666666664
2025-2026,7,332,Lukić,FUL,Midfielder,2.296666666666667,1,1.2966666666666669,1.2966666666666669
2025-2026,7,698,Okafor,LEE,Midfielder,6.746666666666667,8,-1.253333333333333,1.253333333333333
2025-2026,7,418,Doku,MCI,Midfielder,2.25,1,1.25,1.25
2025-2026,7,1,Raya,ARS,Goalkeeper,4.77,6,-1.2300000000000004,1.2300000000000004
2025-2026,7,225,James,CHE,Defender,2.7866666666666666,4,-1.2133333333333334,1.2133333333333334
2025-2026,7,47,Rogers,AVL,Midfielder,3.796666666666667,5,-1.2033333333333331,1.2033333333333331
2025-2026,7,646,Gomes,WOL,Midfielder,2.8066666666666666,4,-1.1933333333333334,1.1933333333333334
2025-2026,7,266,Eze,ARS,Midfielder,4.826666666666667,6,-1.173333333333333,1.173333333333333
2025-2026,7,273,Wharton,CRY,Midfielder,1.8333333333333333,3,-1.1666666666666667,1.1666666666666667
2025-2026,7,291,Tarkowski,EVE,Defender,3.84,5,-1.1600000000000001,1.1600000000000001
2025-2026,7,160,Minteh,BHA,Midfielder,3.16,2,1.1600000000000001,1.1600000000000001
2025-2026,7,233,Acheampong,CHE,Defender,0.8533333333333334,2,-1.1466666666666665,1.1466666666666665
2025-2026,7,366,A.Becker,LIV,Goalkeeper,1.1333333333333333,0,1.1333333333333333,1.1333333333333333
2025-2026,7,515,Gibbs-White,NFO,Midfielder,2.8666666666666667,4,-1.1333333333333333,1.1333333333333333
2025-2026,7,586,Bergvall,TOT,Midfielder,1.1233333333333333,0,1.1233333333333333,1.1233333333333333
2025-2026,7,101,Kelleher,BRE,Goalkeeper,1.88,3,-1.12,1.12
2025-2026,7,261,Richards,CRY,Defender,1.9,3,-1.1,1.1
2025-2026,7,695,Tchatchoua,WOL,Defender,2.9033333333333333,4,-1.0966666666666667,1.0966666666666667
