season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,5,36,Cash,AVL,Defender,4.493333333333333,10,-5.506666666666667,5.506666666666667
2025-2026,5,691,Calvert-Lewin,LEE,Forward,5.573333333333333,11,-5.426666666666667,5.426666666666667
2025-2026,5,324,Iwobi,FUL,Midfielder,7.59,13,-5.41,5.41
2025-2026,5,660,Stach,LEE,Midfielder,9.753333333333334,15,-5.246666666666666,5.246666666666666
2025-2026,5,442,Maguire,MUN,Defender,6.4366666666666665,11,-4.5633333333333335,4.5633333333333335
2025-2026,5,160,Minteh,BHA,Midfielder,4.933333333333334,9,-4.066666666666666,4.066666666666666
2025-2026,5,427,Reijnders,MCI,Midfielder,5.126666666666667,9,-3.873333333333333,3.873333333333333
2025-2026,5,220,Sánchez,CHE,Goalkeeper,0.8366666666666667,-3,3.836666666666667,3.836666666666667
2025-2026,5,411,O’Reilly,MCI,Defender,2.3066666666666666,6,-3.6933333333333334,3.6933333333333334
2025-2026,5,508,N.Williams,NFO,Defender,6.503333333333333,10,-3.496666666666667,3.496666666666667
2025-2026,5,8,J.Timber,ARS,Defender,4.456666666666667,1,3.456666666666667,3.456666666666667
2025-2026,5,476,Burn,NEW,Defender,5.556666666666667,9,-3.4433333333333334,3.4433333333333334
2025-2026,5,473,Hall,NEW,Defender,3.6266666666666665,7,-3.3733333333333335,3.3733333333333335
2025-2026,5,560,Isidor,SUN,Forward,5.6433333333333335,9,-3.3566666666666665,3.3566666666666665
2025-2026,5,338,Muniz,FUL,Forward,1.7,5,-3.3,3.3
2025-2026,5,449,B.Fernandes,MUN,Midfielder,6.73,10,-3.2699999999999996,3.2699999999999996
2025-2026,5,237,Enzo,CHE,Midfielder,4.256666666666667,1,3.256666666666667,3.256666666666667
2025-2026,5,438,Mazraoui,MUN,Defender,3.7866666666666666,7,-3.2133333333333334,3.2133333333333334
2025-2026,5,74,Truffert,BOU,Defender,5.8566666666666665,9,-3.1433333333333335,3.1433333333333335
2025-2026,5,302,Gana,EVE,Midfielder,6.906666666666666,10,-3.0933333333333337,3.0933333333333337
2025-2026,5,698,Okafor,LEE,Midfielder,4.993333333333333,8,-3.006666666666667,3.006666666666667
2025-2026,5,605,Kilman,WHU,Defender,4.8966666666666665,2,2.8966666666666665,2.8966666666666665
2025-2026,5,541,Reinildo,SUN,Defender,0.7933333333333333,-2,2.7933333333333334,2.7933333333333334
2025-2026,5,679,Hermansen,WHU,Goalkeeper,2.736666666666667,0,2.736666666666667,2.736666666666667
2025-2026,5,684,Thiaw,NEW,Defender,4.266666666666667,7,-2.7333333333333334,2.7333333333333334
2025-2026,5,329,Wilson,FUL,Midfielder,6.27,9,-2.7300000000000004,2.7300000000000004
2025-2026,5,475,Botman,NEW,Defender,5.416666666666667,8,-2.583333333333333,2.583333333333333
2025-2026,5,430,Haaland,MCI,Forward,6.443333333333333,9,-2.5566666666666666,2.5566666666666666
2025-2026,5,615,Summerville,WHU,Midfielder,4.54,2,2.54,2.54
2025-2026,5,72,Senesi,BOU,Defender,6.513333333333334,9,-2.4866666666666664,2.4866666666666664
