season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,4,26,Zubimendi,ARS,Midfielder,8.773333333333333,16,-7.226666666666667,7.226666666666667
2025-2026,4,82,Semenyo,BOU,Midfielder,6.48,13,-6.52,6.52
2025-2026,4,430,Haaland,MCI,Forward,7.31,13,-5.69,5.69
2025-2026,4,414,Foden,MCI,Midfielder,6.596666666666667,12,-5.403333333333333,5.403333333333333
2025-2026,4,685,Diakité,BOU,Defender,5.1033333333333335,0,5.1033333333333335,5.1033333333333335
2025-2026,4,586,Bergvall,TOT,Midfielder,5.996666666666667,11,-5.003333333333333,5.003333333333333
2025-2026,4,83,O.Dango,BRE,Midfielder,5.82,1,4.82,4.82
2025-2026,4,575,Van de Ven,TOT,Defender,9.266666666666667,14,-4.7333333333333325,4.7333333333333325
2025-2026,4,157,Mitoma,BHA,Midfielder,2.7,7,-4.3,4.3
2025-2026,4,406,Khusanov,MCI,Defender,3.8366666666666664,8,-4.163333333333334,4.163333333333334
2025-2026,4,347,Gudmundsson,LEE,Defender,4.033333333333333,0,4.033333333333333,4.033333333333333
2025-2026,4,44,Bogarde,AVL,Defender,5.01,9,-3.99,3.99
2025-2026,4,403,Gvardiol,MCI,Defender,2.0933333333333333,6,-3.9066666666666667,3.9066666666666667
2025-2026,4,683,Alderete,SUN,Defender,5.153333333333333,9,-3.8466666666666667,3.8466666666666667
2025-2026,4,478,Trippier,NEW,Defender,4.21,8,-3.79,3.79
2025-2026,4,418,Doku,MCI,Midfielder,6.223333333333334,10,-3.7766666666666664,3.7766666666666664
2025-2026,4,665,Perri,LEE,Goalkeeper,3.77,0,3.77,3.77
2025-2026,4,662,Mosquera,ARS,Defender,3.2333333333333334,7,-3.7666666666666666,3.7666666666666666
2025-2026,4,489,J.Murphy,NEW,Midfielder,2.27,6,-3.73,3.73
2025-2026,4,411,O’Reilly,MCI,Defender,2.34,6,-3.66,3.66
2025-2026,4,374,Konaté,LIV,Defender,5.343333333333334,9,-3.6566666666666663,3.6566666666666663
2025-2026,4,381,M.Salah,LIV,Midfielder,5.346666666666667,9,-3.6533333333333333,3.6533333333333333
2025-2026,4,660,Stach,LEE,Midfielder,4.613333333333333,1,3.6133333333333333,3.6133333333333333
2025-2026,4,72,Senesi,BOU,Defender,6.583333333333333,3,3.583333333333333,3.583333333333333
2025-2026,4,314,Leno,FUL,Goalkeeper,4.6,8,-3.4000000000000004,3.4000000000000004
2025-2026,4,597,Richarlison,TOT,Forward,4.346666666666667,1,3.3466666666666667,3.3466666666666667
2025-2026,4,123,Carvalho,BRE,Midfielder,3.74,7,-3.26,3.26
2025-2026,4,318,Bassey,FUL,Defender,5.753333333333333,9,-3.246666666666667,3.246666666666667
2025-2026,4,40,Mings,AVL,Defender,5.883333333333334,9,-3.1166666666666663,3.1166666666666663
2025-2026,4,160,Minteh,BHA,Midfielder,2.99,6,-3.01,3.01
2025-2026,4,241,Caicedo,CHE,Midfielder,8.993333333333334,12,-3.006666666666666,3.006666666666666
2025-2026,4,580,Johnson,TOT,Midfielder,3.933333333333333,1,2.933333333333333,2.933333333333333
2025-2026,4,7,Calafiori,ARS,Defender,7.86,5,2.8600000000000003,2.8600000000000003
2025-2026,4,235,Palmer,CHE,Midfielder,4.183333333333334,7,-2.8166666666666664,2.8166666666666664
2025-2026,4,408,Rúben,MCI,Defender,3.2133333333333334,6,-2.7866666666666666,2.7866666666666666
2025-2026,4,474,Schär,NEW,Defender,5.233333333333333,8,-2.7666666666666666,2.7666666666666666
2025-2026,4,569,Romero,TOT,Defender,9.236666666666666,12,-2.7633333333333336,2.7633333333333336
2025-2026,4,317,Andersen,FUL,Defender,7.283333333333333,10,-2.716666666666667,2.716666666666667
2025-2026,4,267,Sarr,CRY,Midfielder,2.6966666666666668,0,2.6966666666666668,2.6966666666666668
2025-2026,4,84,Tavernier,BOU,Midfielder,4.676666666666667,2,2.6766666666666667,2.6766666666666667
2025-2026,4,670,Roefs,SUN,Goalkeeper,7.336666666666667,10,-2.663333333333333,2.663333333333333
2025-2026,4,148,F.Kadıoğlu,BHA,Defender,1.36,4,-2.6399999999999997,2.6399999999999997
2025-2026,4,531,Ballard,SUN,Defender,2.6333333333333333,0,2.6333333333333333,2.6333333333333333
2025-2026,4,124,Henderson,BRE,Midfielder,3.3733333333333335,6,-2.6266666666666665,2.6266666666666665
2025-2026,4,5,Gabriel,ARS,Defender,6.413333333333333,9,-2.586666666666667,2.586666666666667
2025-2026,4,343,Struijk,LEE,Defender,4.526666666666666,2,2.5266666666666664,2.5266666666666664
2025-2026,4,266,Eze,ARS,Midfielder,3.5733333333333333,6,-2.4266666666666667,2.4266666666666667
2025-2026,4,261,Richards,CRY,Defender,3.5766666666666667,6,-2.4233333333333333,2.4233333333333333
