season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,6,430,Haaland,MCI,Forward,7.33,16,-8.67,8.67
2025-2026,6,26,Zubimendi,ARS,Midfielder,8.71,2,6.710000000000001,6.710000000000001
2025-2026,6,237,Enzo,CHE,Midfielder,2.42,9,-6.58,6.58
2025-2026,6,683,Alderete,SUN,Defender,11.693333333333333,17,-5.306666666666667,5.306666666666667
2025-2026,6,136,Thiago,BRE,Forward,8.093333333333334,13,-4.906666666666666,4.906666666666666
2025-2026,6,267,Sarr,CRY,Midfielder,6.52,11,-4.48,4.48
2025-2026,6,575,Van de Ven,TOT,Defender,6.256666666666667,2,4.256666666666667,4.256666666666667
2025-2026,6,636,S.Bueno,WOL,Defender,7.82,12,-4.18,4.18
2025-2026,6,387,Szoboszlai,LIV,Midfielder,0.8266666666666667,5,-4.173333333333334,4.173333333333334
2025-2026,6,603,Diouf,WHU,Defender,1.12,5,-3.88,3.88
2025-2026,6,40,Mings,AVL,Defender,4.703333333333333,1,3.703333333333333,3.703333333333333
2025-2026,6,407,Matheus N.,MCI,Defender,8.43,12,-3.5700000000000003,3.5700000000000003
2025-2026,6,120,Schade,BRE,Midfielder,7.546666666666667,4,3.546666666666667,3.546666666666667
2025-2026,6,226,Chalobah,CHE,Defender,0.49666666666666665,-3,3.4966666666666666,3.4966666666666666
2025-2026,6,414,Foden,MCI,Midfielder,4.473333333333334,1,3.4733333333333336,3.4733333333333336
2025-2026,6,162,Gruda,BHA,Midfielder,0.74,4,-3.26,3.26
2025-2026,6,411,O’Reilly,MCI,Defender,5.183333333333334,2,3.1833333333333336,3.1833333333333336
2025-2026,6,318,Bassey,FUL,Defender,3.183333333333333,0,3.183333333333333,3.183333333333333
2025-2026,6,648,Munetsi,WOL,Midfielder,0.8466666666666667,4,-3.1533333333333333,3.1533333333333333
2025-2026,6,348,Rodon,LEE,Defender,3.8466666666666667,7,-3.1533333333333333,3.1533333333333333
2025-2026,6,493,Longstaff,LEE,Midfielder,11.863333333333333,15,-3.1366666666666667,3.1366666666666667
2025-2026,6,271,Kamada,CRY,Midfielder,1.8833333333333333,5,-3.1166666666666667,3.1166666666666667
2025-2026,6,257,Lacroix,CRY,Defender,0.8866666666666667,4,-3.1133333333333333,3.1133333333333333
2025-2026,6,694,Mukiele,SUN,Defender,9.093333333333334,6,3.0933333333333337,3.0933333333333337
2025-2026,6,612,L.Paquetá,WHU,Midfielder,0.94,4,-3.06,3.06
2025-2026,6,260,Guéhi,CRY,Defender,3.9433333333333334,7,-3.0566666666666666,3.0566666666666666
2025-2026,6,50,Buendía,AVL,Midfielder,8.96,12,-3.039999999999999,3.039999999999999
2025-2026,6,569,Romero,TOT,Defender,4.973333333333334,2,2.9733333333333336,2.9733333333333336
2025-2026,6,36,Cash,AVL,Defender,4.8966666666666665,2,2.8966666666666665,2.8966666666666665
2025-2026,6,419,Grealish,EVE,Midfielder,-0.7933333333333333,2,-2.7933333333333334,2.7933333333333334
2025-2026,6,586,Bergvall,TOT,Midfielder,3.763333333333333,1,2.763333333333333,2.763333333333333
2025-2026,6,547,E.Le Fée,SUN,Midfielder,0.2833333333333333,3,-2.716666666666667,2.716666666666667
2025-2026,6,178,Welbeck,BHA,Forward,8.41,11,-2.59,2.59
2025-2026,6,624,Bowen,WHU,Forward,6.41,9,-2.59,2.59
2025-2026,6,21,Rice,ARS,Midfielder,6.43,9,-2.5700000000000003,2.5700000000000003
2025-2026,6,442,Maguire,MUN,Defender,3.5533333333333332,1,2.5533333333333332,2.5533333333333332
2025-2026,6,381,M.Salah,LIV,Midfielder,4.456666666666667,2,2.456666666666667,2.456666666666667
2025-2026,6,317,Andersen,FUL,Defender,5.4366666666666665,3,2.4366666666666665,2.4366666666666665
2025-2026,6,82,Semenyo,BOU,Midfielder,9.426666666666666,7,2.426666666666666,2.426666666666666
2025-2026,6,605,Kilman,WHU,Defender,0.6033333333333334,3,-2.3966666666666665,2.3966666666666665
2025-2026,6,684,Thiaw,NEW,Defender,5.3933333333333335,3,2.3933333333333335,2.3933333333333335
2025-2026,6,449,B.Fernandes,MUN,Midfielder,1.22,-1,2.2199999999999998,2.2199999999999998
2025-2026,6,191,Estève,BUR,Defender,0.17,-2,2.17,2.17
2025-2026,6,235,Palmer,CHE,Midfielder,2.1433333333333335,0,2.1433333333333335,2.1433333333333335
2025-2026,6,354,Ampadu,LEE,Midfielder,3.1166666666666667,1,2.1166666666666667,2.1166666666666667
2025-2026,6,38,Konsa,AVL,Defender,4.1066666666666665,2,2.1066666666666665,2.1066666666666665
2025-2026,6,685,Diakité,BOU,Defender,0.94,3,-2.06,2.06
2025-2026,6,475,Botman,NEW,Defender,0.9433333333333334,3,-2.0566666666666666,2.0566666666666666
2025-2026,6,476,Burn,NEW,Defender,2.0533333333333332,0,2.0533333333333332,2.0533333333333332
2025-2026,6,47,Rogers,AVL,Midfielder,7.006666666666667,5,2.006666666666667,2.006666666666667
2025-2026,6,37,Digne,AVL,Defender,6.95,5,1.9500000000000002,1.9500000000000002
2025-2026,6,324,Iwobi,FUL,Midfielder,3.9466666666666668,2,1.9466666666666668,1.9466666666666668
2025-2026,6,72,Senesi,BOU,Defender,5.066666666666666,7,-1.9333333333333336,1.9333333333333336
2025-2026,6,253,Henderson,CRY,Goalkeeper,1.1566666666666667,3,-1.8433333333333333,1.8433333333333333
2025-2026,6,287,Pickford,EVE,Goalkeeper,3.8266666666666667,2,1.8266666666666667,1.8266666666666667
2025-2026,6,293,O'Brien,EVE,Defender,3.8,2,1.7999999999999998,1.7999999999999998
2025-2026,6,406,Khusanov,MCI,Defender,1.7833333333333334,0,1.7833333333333334,1.7833333333333334
2025-2026,6,508,N.Williams,NFO,Defender,2.78,1,1.7799999999999998,1.7799999999999998
2025-2026,6,44,Bogarde,AVL,Defender,3.77,2,1.77,1.77
2025-2026,6,666,Gyökeres,ARS,Forward,3.736666666666667,2,1.7366666666666668,1.7366666666666668
2025-2026,6,302,Gana,EVE,Midfielder,3.7266666666666666,2,1.7266666666666666,1.7266666666666666
2025-2026,6,488,Bruno G.,NEW,Midfielder,0.30333333333333334,2,-1.6966666666666668,1.6966666666666668
2025-2026,6,238,Estêvão,CHE,Midfielder,1.3133333333333332,3,-1.6866666666666668,1.6866666666666668
2025-2026,6,427,Reijnders,MCI,Midfielder,3.6733333333333333,2,1.6733333333333333,1.6733333333333333
2025-2026,6,441,Dorgu,MUN,Defender,1.6666666666666667,0,1.6666666666666667,1.6666666666666667
2025-2026,6,20,Trossard,ARS,Midfielder,3.65,2,1.65,1.65
2025-2026,6,148,F.Kadıoğlu,BHA,Defender,3.5866666666666664,2,1.5866666666666664,1.5866666666666664
2025-2026,6,573,Spence,TOT,Defender,3.5566666666666666,2,1.5566666666666666,1.5566666666666666
2025-2026,6,322,Tete,FUL,Defender,1.5533333333333332,0,1.5533333333333332,1.5533333333333332
2025-2026,6,145,De Cuyper,BHA,Defender,6.456666666666667,8,-1.543333333333333,1.543333333333333
2025-2026,6,459,Ugarte,MUN,Midfielder,3.5033333333333334,2,1.5033333333333334,1.5033333333333334
2025-2026,6,408,Rúben,MCI,Defender,3.493333333333333,2,1.4933333333333332,1.4933333333333332
2025-2026,6,438,Mazraoui,MUN,Defender,1.4866666666666666,0,1.4866666666666666,1.4866666666666666
2025-2026,6,338,Muniz,FUL,Forward,1.4866666666666666,0,1.4866666666666666,1.4866666666666666
2025-2026,6,123,Carvalho,BRE,Midfielder,1.4766666666666666,0,1.4766666666666666,1.4766666666666666
